id,id_habito,tipo,objetivo
2,0,mensual,03:00:00
3,0,anual,04:00:00
4,1,diario,01:00:00
5,1,semanal,02:00:00
6,1,mensual,06:00:00
7,1,anual,10:00:00
8,2,diario,01:00:00
9,2,semanal,02:00:00
11,2,anual,99:00:00
12,4,diario,03:00:00
13,4,semanal,05:00:00
14,4,mensual,10:00:00
15,5,mensual,100:00:00
16,5,anual,10000:00:00
32,5,diario,01:00:00
35,14,diario,01:00:00
36,15,diario,01:00:00
37,16,diario,01:00:00
38,17,diario,01:00:00
39,18,diario,01:00:00
40,16,mensual,30:00:00
41,16,semanal,10:00:00
42,14,mensual,20:00:00
43,14,semanal,100:00:00
44,15,semanal,10:00:00
45,15,mensual,30:00:00
46,15,anual,40:00:00
47,14,anual,01:00:00
50,16,anual,01:00:00
59,17,semanal,02:00:00
60,2,mensual,100:00:00
61,19,diario,01:00:00
62,20,diario,02:00:00
63,20,semanal,02:00:00
64,21,diario,01:00:00
65,21,semanal,03:00:00
66,21,mensual,10:00:00
67,21,anual,100:00:00
68,17,mensual,10:00:00
69,17,anual,100:00:00
